--------------------------------------------
PID= 6 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:30:22 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 6 -Linea: 18
PID= 9 |Tipo= Writer | Fecha y hora= 2023-05-22 16:30:25 | Accion= Escribiendo | Mensaje= 18
PID= 1 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:30:30 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 1 -Linea: 5
PID= 11 |Tipo= Writer | Fecha y hora= 2023-05-22 16:30:33 | Accion= Escribiendo | Mensaje= 5
PID= 2 |Tipo= Writer | Fecha y hora= 2023-05-22 16:30:33 | Accion= Error al escribir (Lineas llenas) | Mensaje= 
PID= 1 |Tipo= Writer | Fecha y hora= 2023-05-22 16:30:33 | Accion= Error al escribir (Lineas llenas) | Mensaje= 
PID= 7 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:30:38 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 7 -Linea: 6
PID= 4 |Tipo= Writer | Fecha y hora= 2023-05-22 16:30:41 | Accion= Escribiendo | Mensaje= 6
PID= 9 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:30:46 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 9 -Linea: 9
PID= 4 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:30:51 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 4 -Linea: 13
PID= 3 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:30:56 | Accion= Borrando | Mensaje= La línea esta vacía
PID= 7 |Tipo= Writer | Fecha y hora= 2023-05-22 16:30:59 | Accion= Escribiendo | Mensaje= 9
PID= 2 |Tipo= Reader | Fecha y hora= 2023-05-22 16:31:04 | Accion= Leyendo | Mensaje=  -Linea: 4 -PID: 5 -Hora y fecha: 2023-05-22 16:26:05
PID= 1 |Tipo= Reader | Fecha y hora= 2023-05-22 16:31:04 | Accion= Leyendo | Mensaje=  -Linea: 4 -PID: 5 -Hora y fecha: 2023-05-22 16:26:05
PID= 3 |Tipo= Writer | Fecha y hora= 2023-05-22 16:31:07 | Accion= Escribiendo | Mensaje= 13
PID= 8 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:31:12 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 8 -Linea: 5
PID= 10 |Tipo= Writer | Fecha y hora= 2023-05-22 16:31:15 | Accion= Escribiendo | Mensaje= 5
PID= 5 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:31:20 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 5 -Linea: 4
PID= 5 |Tipo= Writer | Fecha y hora= 2023-05-22 16:31:23 | Accion= Escribiendo | Mensaje= 4
PID= 2 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:31:28 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 2 -Linea: 6
PID= 6 |Tipo= Writer | Fecha y hora= 2023-05-22 16:31:31 | Accion= Escribiendo | Mensaje= 6
PID= 10 |Tipo= Reader egoísta | Fecha y hora= 2023-05-22 16:31:36 | Accion= Borrando | Mensaje= La línea borrada es:   -PID: 10 -Linea: 4
PID= 8 |Tipo= Writer | Fecha y hora= 2023-05-22 16:31:39 | Accion= Escribiendo | Mensaje= 4
PID= 9 |Tipo= Writer | Fecha y hora= 2023-05-22 16:31:39 | Accion= Error al escribir (Lineas llenas) | Mensaje= 
